#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
1.6,27,47.772723
1.6,27,47.789221
5.6,67,47.847775
6.0,71,47.892912
5.9,70,47.935117
5.0,61,47.973468
11.0,121,48.080024
3.7,48,48.112233
13.4,145,48.201067
12.8,139,48.28718
4.7,58,48.320691
1.6,27,48.338851
1.6,27,48.356833
12.3,134,48.444612
9.7,108,48.533987
1.6,27,48.552289
9.9,110,48.620158
1.6,27,48.63777
3.6,47,48.666368
5.4,65,48.709766
1.6,27,48.726249
3.8,49,48.75789
1.6,27,48.774538
1.6,27,48.793009
11.0,121,48.86295
1.6,27,48.879267
1.6,27,48.894453
1.6,27,48.912669
5.9,70,48.960499
1.6,27,48.975847
1.6,27,48.992621
12.3,134,49.077569
5.6,67,49.116706
7.5,86,49.20197
1.6,27,49.231038
1.6,27,49.248393
12.3,134,49.33097
1.6,27,49.347575
1.6,27,49.36264
1.6,27,49.384477
7.4,85,49.440269
12.3,134,49.520806
1.6,27,49.540341
12.3,134,49.620677
5.0,61,49.655962
5.5,66,49.74264
1.6,27,49.761055
3.9,50,49.79287
12.3,134,49.874656
11.2,123,49.950157
1.6,27,49.967338
1.6,27,49.986439
3.7,48,50.016637
13.8,149,50.112144
1.6,27,50.128699
3.9,50,50.160824
1.6,27,50.180336
1.6,27,50.197307
1.6,27,50.214338
3.9,50,50.244627
1.6,27,50.261442
1.6,27,50.277858
6.3,74,50.319541
5.2,63,50.359101
5.9,70,50.403861
7.4,85,50.46358
1.6,27,50.478595
1.6,27,50.497061
1.6,27,50.513562
7.4,85,50.567273
1.6,27,50.583724
1.6,27,50.601843
1.6,27,50.616795
1.6,27,50.632961
1.6,27,50.650625
1.6,27,50.670985
12.6,137,50.755396
1.6,27,50.77155
1.6,27,50.786495
1.6,27,50.8056
1.6,27,50.824032
5.8,69,50.864656
11.9,130,50.941133
1.6,27,50.957984
1.6,27,50.974316
4.0,51,51.006524
1.6,27,51.025287
1.6,27,51.041717
1.6,27,51.058274
7.3,84,51.11289
1.6,27,51.129487
11.5,126,51.207863
1.6,27,51.225462
3.8,49,51.254409
3.7,48,51.285188
5.7,68,51.357443
5.3,64,51.395312
6.4,75,51.449708
1.6,27,51.465787
7.7,88,51.522548
9.4,105,51.586936
1.6,27,51.603478
6.7,78,51.648916
1.6,27,51.66856
